genre,mo_ratings
Crime,3.6244777656956447
Animation,3.6303317535545024
Romance,3.5192726307406424
Documentary,3.8325309491059147
Mystery,3.5869589912529819
History,3.8529485887096774
Music,3.5712825753704650
Fantasy,3.4504994007191370
TV Movie,3.3793103448275862
Science Fiction,3.4250165016501650
Foreign,3.8000000000000000
Horror,3.2523212249552044
Drama,3.6730491175845205
Action,3.4234982263283047
Thriller,3.5083542025356081
Western,3.5627329192546584
Comedy,3.4216101694915254
Adventure,3.4732897683133026
War,3.7909163135593220
Family,3.4666245259165613
